project name,compile,gradle version,flaky tests,total tests,successful tests,failed tests,skipped tests,time (mins),log size
ebean-orm-examples/example-gradle-java,F,,N/A,,,,,0,4
oliviergauthier/xam-gradle-plugins,F,3.4.1,N/A,,,,,0,12
jamiefolson/gradle-plugin-r,F,,N/A,,,,,0,4
shekhargulati/gradle-openshift-quickstart,F,,N/A,,,,,0,4
dbsystel/microservice-integrationtest-gradle-plugin,F,3.5.1,N/A,,,,,0,8
William-Hill-Online/wiremock-gradle-plugin,F,4.8,N/A,,,,,0,4
jojoldu/springboot-rest-docs-spock,F,4.5.1,N/A,,,,,0,4
Adrninistrator/IDEA-IC-Tomcat,error with test,6.2,fail to add plugin,,,,,0,4
aegis123/minio-buildcache,F,4.5.1,N/A,,,,,0,4
rosolko/selenide-selenoid-configuration,error with test,5.6,run time error,,,,,0,8
ryudongjae/SpringStudy,F,,N/A,,,,,0,4
emlautarom1/NotesFX,F,4.10,N/A,,,,,0,4
ryudongjae/hello-spring,F,,N/A,,,,,0,4
CoconutMacaroon/CocomacZoomMod,F,2.14.1,N/A,,,,,0,12
Crimix/ReplacePlaceholdersPlugin,F,7.1,N/A,,,,,0,4
413608258/weather-all,error with test,4.4,no test,,,,,0,4
cqu2014/MessageAndRedis,error with test,5.2.1,fail to add plugin,,,,,0,4
TeamWanari/appcenter-publish-plugin:plugin,error with test,4.10,no test,,,,,0,4
jjfhj/demowebshop_api_test,F,,N/A,,,,,0,4
matthesvoss/Chromium-Password-Recovery,error with test,7.4,no test,,,,,0,4
sahilappayev/spring-boot-graphql,error with test,7.4.1,no test,,,,,0,4
anshulverma/gradle-estilo-plugin,F,2.9,N/A,,,,,0,12
jamesbarker/cucumber-geb-gradle,F,2.3,N/A,,,,,0,8
rackerlabs/gradle-linkchecker-plugin,F,4.5,N/A,,,,,0,4
vontikov/sbe-gradle-plugin,F,,N/A,,,,,0,4
janisz/gradle-wsdl2java,F,1.12,N/A,,,,,0,12
goblinr/git-changelog-gradle-plugin,error with test,7.3,no test,,,,,2,4
Johni0702/gradle-reproducible-builds-plugin,error with test,3.5.1,no test,,,,,0,4
h0tk3y/gradle-eval-plugin,error with test,4.8,fail to add plugin,,,,,0,4
davidmichaelkarr/toastersample,F,2.3,N/A,,,,,0,4
vacax/PruebaJms,error with test,8.1.1,run time error,,,,,0,8
binarybirchtree/contributionart,F,,N/A,,,,,0,4
syakuis/spring-gradle-template,error with test,7.5,run time error,,,,,0,8
DanielEdu/Spark-Gradle-Templete-Lite,error with test,6.3,no test,,,,,1,4
racchouhan12/RestAssuredWithGradle,F,,N/A,,,,,0,4
vishalbagde/jspExampleWithGradle,error with test,5.6.2,run time error,,,,,0,8
hoangmnsd/spring-gradle-postgres-docker,F,,N/A,,,,,0,4
cansik/protobuf-gradle-demo,error with test,6.1,run time error,,,,,0,8
rahul-ghadge/spring-boot-microservices-gradle,F,6.5,N/A,,,,,0,4
sandonjacobs/gradle-kafka-connect,F,6.7.1,N/A,,,,,0,8
savvagen/jmeter-gradle-demo-project,error with test,4.10.3,run time error,,,,,1,8
square/gradle-dependencies-sorter,F,8.0.1,N/A,,,,,1,8
hdespaigne87/spring-gradle-ddd-skeleton:bounded_contexts_shared_application,error with test,6.4.1,fail to add plugin,,,,,1,8
hdespaigne87/spring-gradle-ddd-skeleton:bounded_contexts_shared_domain,error with test,6.4.1,fail to add plugin,,,,,1,8
hdespaigne87/spring-gradle-ddd-skeleton:bounded_contexts_shared_infrastructure,error with test,6.4.1,fail to add plugin,,,,,1,8
